Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
19-Jan-18,350.02,345,350.59,342.6,4.89M
18-Jan-18,344.57,345.67,352.3,343.74,5.69M
17-Jan-18,347.16,340.47,349,339.75,7.10M
16-Jan-18,340.06,337.54,345,334.8,6.47M
12-Jan-18,336.22,338.63,340.41,333.67,4.83M
11-Jan-18,337.95,335.24,344.81,333.26,6.65M
10-Jan-18,334.8,332.2,337,330,4.31M
09-Jan-18,333.69,335.16,338.8,327.4,7.15M
08-Jan-18,336.41,316,337.02,315.5,9.86M
05-Jan-18,316.58,316.62,317.24,312,4.59M
04-Jan-18,314.62,312.87,318.55,305.68,9.95M
03-Jan-18,317.25,321,325.25,315.55,4.52M
02-Jan-18,320.53,312,322.11,311,4.35M
29-Dec-17,311.35,316.18,316.41,310,3.78M
28-Dec-17,315.36,311.75,315.82,309.54,4.32M
27-Dec-17,311.64,316,317.68,310.75,4.71M
26-Dec-17,317.29,323.83,323.94,316.58,4.38M
22-Dec-17,325.2,329.51,330.92,324.82,4.22M
21-Dec-17,331.66,329.59,333.74,327.21,4.39M
20-Dec-17,328.98,332.69,333.1,325.04,5.95M
19-Dec-17,331.1,340.26,341.49,330.3,6.82M
18-Dec-17,338.87,344.9,346.73,337.58,5.48M
15-Dec-17,343.45,342.04,343.9,335.76,6.93M
14-Dec-17,337.89,341.01,347.44,336.9,5.80M
13-Dec-17,339.03,340.93,344.22,336.5,6.22M
12-Dec-17,341.03,330.45,341.44,330.03,8.73M
11-Dec-17,328.91,314.63,329.01,313.75,7.94M
08-Dec-17,315.13,314.6,316.98,311.26,3.47M
07-Dec-17,311.24,312,318.63,311.05,4.78M
06-Dec-17,313.26,300.1,313.39,300,7.20M
05-Dec-17,303.7,302,308,301,4.65M
04-Dec-17,305.2,306.5,308.26,300.61,5.84M
01-Dec-17,306.53,305.44,310.32,305.05,4.29M
30-Nov-17,308.85,308.56,310.7,304.54,4.35M
29-Nov-17,307.54,317.3,318,301.23,8.77M
28-Nov-17,317.55,316.36,320,313.92,4.95M
27-Nov-17,316.81,313.25,317.34,309.51,4.56M
24-Nov-17,315.55,313.79,316.41,311,3.24M
22-Nov-17,312.6,316.77,317.42,311.84,4.92M
21-Nov-17,317.81,310.86,318.23,308.71,7.26M
20-Nov-17,308.74,313.79,315.5,304.75,8.25M
17-Nov-17,315.05,325.67,326.67,313.15,13.74M
16-Nov-17,312.5,313.99,318.14,311.3,5.82M
15-Nov-17,311.3,306.01,312.49,301.5,5.98M
