CIPLA,GAIL,HDFC,INFY,ITC,M&M,MARUTI,RELIANCE,TCS,TITAN,DHFL,IDBI,PNB,VOLTAS,SUNTV,TATA POWER,NBCC,MRPL,IGL,RELINFRA,SUZLON,RAYMOND,PVR,ASHOKA,BAJAJELEC,VENKEYS,CENTURYPLY,BOMDYEING,LEMONTREE,SONATSOFTW
568.7,377.75,1731.35,983.75,280.75,1418.05,7770.3,1622.15,2522.8,611.2,456.7,57,151.05,541.7,786.3,80.25,216.7,129.85,1180.25,530.45,17.65,769.15,1400.2,179.35,325.9,2150.95,260.75,81.5,76.85,160.05
566.5,381.6,1725.4,968.25,279.85,1400.75,7838.65,1616.35,2503.45,614.85,456.75,57.15,152.1,536.85,754.6,80,213.7,132.2,1196.4,542.2,17.3,776.95,1430.45,187.4,331.95,2187.5,266.3,82.9,74.15,156.75
578.6,386.75,1719.9,963.85,274.15,1400,7755.9,1602.55,2503.05,609.4,448.85,55.75,148.8,537.45,725.6,78.25,212.5,139,1225.1,528.3,16.65,775.8,1409.65,181.75,329.85,2127.9,259.5,80.3,72.95,156.3
561.85,382.2,1731.65,969.35,272.85,1392.3,7661.6,1598.8,2512,619.15,427.85,55.95,148.3,527.6,705.55,77.8,207.85,134.4,1231,514.4,16.3,781.15,1358,180.7,319.95,2100.15,264.8,78.1,72.65,153.55
548.2,365,1709.8,981.25,273.1,1387.05,7578.75,1584.35,2511.45,610.35,406.35,53.8,143.15,520.15,680.8,76.7,195.05,119.5,1214.2,474.45,15.4,723.3,1332.6,178,302.3,1816.3,251.8,69.55,72.05,149.5
541.4,368.95,1695.35,987.7,271.5,1348.05,7457.4,1546.25,2496.05,607,416.8,52.65,140.35,517.2,706.9,76.55,199.65,118.6,1215.5,469.2,15.25,718.15,1285.9,176.4,306.7,1719.4,254.45,70.6,72.75,150
570.05,372.5,1713.95,981.45,271.25,1355.75,7608.45,1573.05,2469.4,630.4,438.75,52.3,143.2,554.2,750.7,79.55,206.55,121.1,1295.65,489.55,17.4,731.45,1288,188.3,304.75,1976.4,261.4,74.85,72.85,153.3
590.45,371.2,1741.75,975.2,279.2,1371.2,7701.15,1566.1,2492.35,627.7,449,53.25,147.55,542.5,748.45,82.05,208.4,124.45,1274.35,494.35,17.5,738.55,1329.2,190.75,315.45,2126.3,258.3,76,74.8,160.1
573.2,376.2,1759.25,1020.85,280,1367,7582.45,1567.1,2485.65,621.5,448.45,53.8,146.3,543.35,752.8,81.65,207.3,121.15,1274.35,491.4,17.2,746,1301.25,190,328.9,2112.95,250.9,78.8,77.65,161.95
565.3,381.25,1735.05,923.25,281.85,1370,7598.8,1575.4,2513.8,623.5,450.35,54.3,142.15,537.7,742.4,80.3,208.3,124.55,1277.5,487.8,16.95,774.35,1321.75,189.95,329.6,2063.8,248.9,77.85,78.8,157.55
561.75,374.2,1738.15,873.4,281.6,1378.65,7501.9,1564.4,2528.8,615.5,448.75,54.1,137.6,532.6,719.25,80.2,205.75,123.4,1256.25,468.7,16.15,744.9,1280.65,183.7,327.55,2007.05,253.1,75.85,75.55,154.65
559.25,377.75,1750.4,875.4,282.9,1374.65,7496.1,1560.05,2497.55,615.1,455.8,53.7,138,524.9,698.15,80.05,203.45,123.45,1259.3,465.65,16.05,731.35,1272.35,186.1,333.3,1964.1,253.8,74,73.75,155.25
559.15,385.45,1765.25,892.8,282.55,1374.2,7573.05,1582.05,2489.45,607.5,467.75,54.65,142.65,522,714.65,78.75,205.1,125.55,1268.25,474.8,16.35,737,1255.45,183.3,339.5,2078.3,259.9,79.3,74.2,154.65
574.05,383,1757.35,912.15,281.45,1375.15,7612.85,1568.05,2496.6,606.8,474.05,55,144.3,521,712.45,79.15,205.8,124.95,1251.85,479.9,16.3,733.75,1263.55,184.5,340.2,2032.7,259.2,85.05,74,156.95
574.1,382,1766.45,941,282.45,1373.05,7579,1566.55,2487.3,612.25,490.95,56,144.85,538.2,715.5,78.85,206.9,128,1242.75,483.8,16.65,765.15,1276.25,186.1,340.9,2026.65,258,92.6,73.9,158.75
568.9,379,1727.8,927.45,280.25,1376.95,7521.5,1532.15,2470.85,600.45,493.4,55.45,141,520.05,701.4,76.95,204.4,126.4,1241.55,498.2,16.25,756.2,1261.5,187,337.1,1996.1,253.9,93.7,74.9,157.85
