,Date,Month,Year,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Day_Perc_Change,Trend
215,17/12/2018,12,2018,348.42,362,365.7,343.88,7.67,3.379521111,Among top gainers
216,14/12/2018,12,2018,365.71,375,377.87,364.33,6.34,4.962401699,Among top gainers
217,13/12/2018,12,2018,376.79,370.15,377.44,366.75,7.37,3.029723005,Among top gainers
218,12/12/2018,12,2018,366.6,369.42,371.91,365.16,5.03,-2.704424215,Negative
219,11/12/2018,12,2018,366.76,369.91,372.17,360.23,6.31,0.043644299,No change
220,10/12/2018,12,2018,365.15,360,365.98,353.12,6.61,-0.438979169,No change
221,07/12/2018,12,2018,357.96,369,379.49,357.65,11.51,-1.969053814,Negative
222,06/12/2018,12,2018,363.06,356.01,367.38,350.76,7.84,1.424740194,Positive
223,04/12/2018,12,2018,359.7,356.05,368.68,352,8.46,-0.925466865,Slight negative
224,03/12/2018,12,2018,358.49,360,366,352,8.31,-0.336391437,No change
225,30/11/2018,11,2018,350.48,341.83,351.6,338.26,5.63,-2.234371949,Negative
226,29/11/2018,11,2018,341.17,347,347.5,339.55,3.08,-2.656356996,Negative
227,28/11/2018,11,2018,347.87,345.99,348.28,342.21,4.13,1.963830349,Positive
228,27/11/2018,11,2018,343.92,340.05,346.96,335.5,6.36,-1.135481645,Negative
229,26/11/2018,11,2018,346,325,346.22,325,7.99,0.604791812,Slight positive
230,23/11/2018,11,2018,325.83,334.35,337.5,325.55,4.2,-5.829479769,Among top losers
231,21/11/2018,11,2018,338.19,352,353.1,337.4,4.69,3.793389191,Among top gainers
232,20/11/2018,11,2018,347.49,341.75,349.8,333.55,8,2.749933469,Positive
233,19/11/2018,11,2018,353.47,356.34,366.75,352.88,9.71,1.720912832,Positive
234,16/11/2018,11,2018,354.31,345.19,355.7,345.12,7.21,0.23764393,No change
235,15/11/2018,11,2018,348.44,342.33,348.58,339.04,4.63,-1.656741272,Negative
236,14/11/2018,11,2018,344,342.7,347.11,337.15,5.04,-1.274250947,Negative
237,13/11/2018,11,2018,338.73,333.16,344.7,332.2,5.45,-1.531976744,Negative
238,12/11/2018,11,2018,331.28,348.37,349.78,330.34,6.94,-2.199391846,Negative
239,09/11/2018,11,2018,350.51,349,354,345.23,5.1,5.804757305,Among top gainers
240,08/11/2018,11,2018,351.4,348.5,357.58,348.44,7.09,0.253915723,No change
241,07/11/2018,11,2018,348.16,343.34,351.18,340.8,7.37,-0.922026181,Slight negative
242,06/11/2018,11,2018,341.06,339.07,348.8,336.09,6.76,-2.039292279,Negative
243,05/11/2018,11,2018,341.4,340.5,343.95,330.14,7.83,0.099689204,No change
244,02/11/2018,11,2018,346.41,343.74,349.2,340.91,7.81,1.467486819,Positive
245,01/11/2018,11,2018,344.28,338.26,347.84,334.73,8,-0.614878323,Slight negative
246,31/10/2018,10,2018,337.32,332.54,342,329.1,7.62,-2.021610317,Negative
247,30/10/2018,10,2018,329.9,328.39,337.9,322.26,9.13,-2.199691687,Negative
248,29/10/2018,10,2018,334.85,337.47,347.16,326.5,14.49,1.500454683,Positive
249,26/10/2018,10,2018,330.9,308.25,339.9,306.65,27.43,-1.179632671,Negative
250,25/10/2018,10,2018,314.86,317.22,321,301.01,20.84,-4.847385917,Among top losers
251,24/10/2018,10,2018,288.5,301.05,304.44,285.73,20.06,-8.371974846,Bear drop
252,23/10/2018,10,2018,294.14,263.87,297.93,262.1,19.03,1.954939341,Positive
253,22/10/2018,10,2018,260.95,260.68,261.86,252.59,5.6,-11.28374244,Bear drop
254,19/10/2018,10,2018,260,267.39,269.66,253.5,9.38,-0.364054417,No change
255,18/10/2018,10,2018,263.91,269.29,271,263,5.42,1.503846154,Positive
256,17/10/2018,10,2018,271.78,282.4,282.7,265.8,8.66,2.982077223,Positive
257,16/10/2018,10,2018,276.59,265.7,277.38,262.24,9.53,1.76981382,Positive
258,15/10/2018,10,2018,259.59,259.06,263.28,254.54,6.2,-6.1462815,Among top losers
